,production_kg,superficie,taille_menage,age,nbre_heure_travail,lat,lng,culture_label_Arachide,culture_label_Bissap,culture_label_Mais,culture_label_Manioc,culture_label_Mil,culture_label_Niebe,culture_label_Pasteque,culture_label_Riz,culture_label_Sesame,culture_label_Sorgho
2558,250,1.5,13,62,56,45.5056156,-73.61375919999999,0,0,0,0,1,0,0,0,0,0
234,500,2.0,6,50,35,40.7982133,-77.8599084,0,0,0,0,1,0,0,0,0,0
905,850,2.0,7,55,49,15.09967,-16.229696,0,0,0,0,1,0,0,0,0,0
6959,700,3.0,7,71,48,14.270251,-15.9406128,1,0,0,0,0,0,0,0,0,0
6119,450,0.25,20,60,48,15.5833,-13.1333,0,0,0,0,0,0,0,1,0,0
702,1840,4.0,10,65,35,14.7860646,-16.9357918,0,0,0,0,1,0,0,0,0,0
5564,200,1.0,8,76,56,14.6821999,-17.450951,1,0,0,0,0,0,0,0,0,0
8103,180,2.0,13,73,48,32.8998091,-97.0403352,1,0,0,0,0,0,0,0,0,0
4755,650,3.0,7,36,40,13.3147492,-14.2123581,1,0,0,0,0,0,0,0,0,0
5950,1300,2.967700005,12,70,28,14.7496114,-17.3749044,1,0,0,0,0,0,0,0,0,0
3245,50,0.5,21,39,77,12.887103,-14.917382,0,0,0,0,0,1,0,0,0,0
7066,180,1.0,9,43,70,40.40926169999999,49.8670924,0,0,1,0,0,0,0,0,0,0
5824,360,5.0,15,54,35,14.4415617,-15.8290298,1,0,0,0,0,0,0,0,0,0
3175,900,4.0,5,52,58,-8.034101,26.790893,0,0,0,0,1,0,0,0,0,0
1686,600,1.5,8,30,48,40.3430942,-74.65507389999999,1,0,0,0,0,0,0,0,0,0
1452,257,1.0,13,54,30,14.227195,-16.577591,0,0,0,0,1,0,0,0,0,0
6994,1000,2.0,10,52,49,15.09967,-16.229696,1,0,0,0,0,0,0,0,0,0
6719,950,1.0,6,54,7,12.485307,-15.621866,0,0,1,0,0,0,0,0,0,0
2417,184,0.5,21,45,45,13.3315419,-13.8245243,0,0,0,0,1,0,0,0,0,0
3140,400,3.0,8,55,40,38.8037704,-77.06238069999999,0,0,0,0,0,1,0,0,0,0
7956,1800,3.5,9,30,48,37.22551,-80.4231382,1,0,0,0,0,0,0,0,0,0
5774,600,1.25,5,40,42,15.3688083,-13.1365521,0,0,0,0,0,0,0,0,0,1
8294,10000,1.0,9,60,43,14.7701521,-17.3606593,0,0,0,0,0,0,1,0,0,0
2693,200,1.0,12,50,70,15.922639,-16.3964218,0,0,0,0,0,1,0,0,0,0
2194,670,2.0,1,52,7,28.0587031,-82.41385389999999,1,0,0,0,0,0,0,0,0,0
7104,400,1.75,22,26,42,12.9316814,-14.0827096,0,0,0,0,0,0,0,0,0,1
3597,200,2.75,10,73,56,13.68042,-16.50128,1,0,0,0,0,0,0,0,0,0
3081,100,4.0,9,63,70,14.426406,-16.40464,1,0,0,0,0,0,0,0,0,0
7424,400,1.25,10,37,56,14.497401,-14.452362,0,0,0,0,1,0,0,0,0,0
1702,2000,1.0,8,65,48,14.6674174,-17.4395282,0,0,0,0,1,0,0,0,0,0
323,75,1.0,9,42,60,13.8909974,-16.0202031,0,0,0,0,0,0,0,0,0,1
4147,250,0.541899979,8,45,48,14.453152,-16.723871,0,0,0,0,1,0,0,0,0,0
3234,2750,2.5,9,58,35,13.1685154,-15.0937378,1,0,0,0,0,0,0,0,0,0
2199,600,1.0,7,59,48,14.6695101,-17.437713,1,0,0,0,0,0,0,0,0,0
3332,80,1.0,6,70,48,14.6734519,-17.4632496,0,0,0,0,0,1,0,0,0,0
932,300,1.0,10,42,35,12.5683796,-16.1219048,0,0,0,0,0,0,0,0,1,0
3607,150,1.0,6,81,77,14.908855,-15.771968,0,0,1,0,0,0,0,0,0,0
6794,150,1.0,13,42,49,16.0282465,-16.4832893,0,0,0,0,0,0,0,0,0,1
6514,200,0.5,9,47,49,14.865665,-15.9068,0,0,0,0,0,1,0,0,0,0
5105,1000,1.0,20,66,63,14.8038531,-15.9053689,0,0,0,0,0,0,0,0,0,1
392,30,0.5,8,83,10,14.517302,-16.887051,0,0,0,0,0,1,0,0,0,0
6742,500,2.0,9,63,52,15.0,-16.416667,0,0,0,0,0,0,0,0,0,1
1122,150,0.600000024,13,63,36,14.85,-16.3667,1,0,0,0,0,0,0,0,0,0
4848,200,2.0,8,55,49,14.7561322,-17.4567048,0,0,0,0,1,0,0,0,0,0
6050,800,4.0,4,69,56,14.6373423,-17.0879032,1,0,0,0,0,0,0,0,0,0
2095,250,0.170000002,8,51,25,12.6635421,-16.1735323,1,0,0,0,0,0,0,0,0,0
4190,10000,1.0,7,69,42,14.699306,-16.959566,1,0,0,0,0,0,0,0,0,0
1173,200,2.0,8,78,48,15.933752,-16.395218,1,0,0,0,0,0,0,0,0,0
8144,2450,1.5,8,53,87,40.678933,-73.98245299999999,0,0,1,0,0,0,0,0,0,0
5492,160,0.25,8,60,28,14.760996,-17.393216,0,0,0,0,0,0,0,1,0,0
2058,275,0.200000003,3,51,48,12.567655,-16.225212,0,0,1,0,0,0,0,0,0,0
1445,1,0.0025,13,60,48,12.510241,-16.27865,0,0,0,0,1,0,0,0,0,0
8278,600,0.75,4,43,12,41.6991133,-86.2387627,1,0,0,0,0,0,0,0,0,0
3889,400,3.0,13,50,49,41.4587113,-81.5645969,0,0,0,0,0,0,0,0,0,1
221,300,2.0,6,30,48,14.270251,-15.9406128,0,0,0,0,0,1,0,0,0,0
6172,300,0.400000006,7,42,30,38.9054458,-77.04954719999999,0,0,0,0,1,0,0,0,0,0
6528,500,0.875999987,8,80,21,14.453152,-16.723871,0,0,0,0,1,0,0,0,0,0
8004,120,1.600000024,4,49,56,14.497401,-14.452362,0,0,1,0,0,0,0,0,0,0
5235,1500,4.0,15,35,42,14.8665572,-15.8994956,1,0,0,0,0,0,0,0,0,0
6714,800,0.744099975,8,60,56,14.222893,-16.8182009,0,0,0,0,1,0,0,0,0,0
3709,500,1.0,20,70,48,14.7448212,-17.5125165,1,0,0,0,0,0,0,0,0,0
5730,2000,4.0,4,76,10,13.886193,-16.231048,0,0,0,0,1,0,0,0,0,0
1304,2000,3.0,6,63,48,14.7567,-16.6107,0,0,0,0,1,0,0,0,0,0
2927,950,1.0,20,67,25,14.8665572,-15.8994956,0,0,0,0,0,0,0,0,0,1
4290,5000,2.0,13,50,56,13.5238459,-13.511882,1,0,0,0,0,0,0,0,0,0
7686,750,1.0,6,59,49,12.7924409,-15.9685189,0,0,1,0,0,0,0,0,0,0
4689,134,0.300000012,7,60,48,12.5683796,-16.1219048,0,0,1,0,0,0,0,0,0,0
1964,1000,1.0,5,80,50,15.181099,-16.5716,0,0,0,0,1,0,0,0,0,0
2677,150,1.0,2,45,72,12.7033366,-12.2547919,0,0,1,0,0,0,0,0,0,0
3490,600,2.0,7,45,35,15.713093,-15.94964,0,0,0,0,0,1,0,0,0,0
3562,270,1.0,9,40,56,13.948051,-15.607976,1,0,0,0,0,0,0,0,0,0
3287,500,1.5,6,56,49,15.9650839,-13.594313,0,0,0,0,1,0,0,0,0,0
8234,250,1.0,3,35,70,14.128458,-15.7439194,0,0,0,0,1,0,0,0,0,0
