production_kg,superficie,taille_menage,age,nbre_heure_travail,lat,lng,culture_label_Arachide,culture_label_Bissap,culture_label_Mais,culture_label_Manioc,culture_label_Mil,culture_label_Niebe,culture_label_Pasteque,culture_label_Riz,culture_label_Sesame,culture_label_Sorgho
2400,8.0,13,70,63,14.007478,-15.558228,0,0,0,0,1,0,0,0,0,0
500,2.0,12,50,63,14.497401,-14.452362,0,0,1,0,0,0,0,0,0,0
200,1.0,11,42,48,14.063682,-15.50701,0,0,0,0,1,0,0,0,0,0
1400,2.299999952,12,42,56,40.9408889,-73.74351469999999,1,0,0,0,0,0,0,0,0,0
500,1.0,13,48,14,13.995527,-15.719152,0,0,0,0,1,0,0,0,0,0
200,2.0,7,55,70,15.0285048,-16.9011849,0,0,1,0,0,0,0,0,0,0
450,2.0,8,35,9,13.795803,-16.168142,1,0,0,0,0,0,0,0,0,0
500,1.0,7,44,7,13.075033,-15.61002,0,0,1,0,0,0,0,0,0,0
3000,2.0,8,45,45,14.7701521,-17.3606593,1,0,0,0,0,0,0,0,0,0
480,1.0,10,66,42,12.9316814,-14.0827096,0,0,0,0,0,0,0,0,0,1
900,4.5,8,43,84,14.908855,-15.771968,0,0,0,0,1,0,0,0,0,0
60,0.761900008,12,70,28,14.7496114,-17.3749044,0,0,0,0,0,1,0,0,0,0
4500,3.0,17,40,84,14.3489479,-3.609117,1,0,0,0,0,0,0,0,0,0
620,0.54381001,7,48,40,12.5512645,-16.6247095,0,0,0,0,0,0,0,1,0,0
308,1.0,18,54,30,14.47593,-16.403219,1,0,0,0,0,0,0,0,0,0
300,1.0,10,75,49,13.5238459,-13.511882,1,0,0,0,0,0,0,0,0,0
560,0.5,8,60,56,14.222893,-16.8182009,0,0,0,0,0,0,0,0,0,1
50,0.699999988,7,45,60,14.7443828,-16.6143944,1,0,0,0,0,0,0,0,0,0
800,2.0,7,48,30,45.5125995,-73.56059549999999,1,0,0,0,0,0,0,0,0,0
1800,1.0,8,50,49,14.8416177,-15.8742244,0,0,0,0,0,0,1,0,0,0
100,1.0,8,51,35,14.426406,-16.40464,0,0,0,0,0,1,0,0,0,0
40,1.0,7,71,48,14.8416177,-15.8742244,0,0,0,0,0,1,0,0,0,0
500,1.0,5,40,42,14.316667,-13.033333,0,0,1,0,0,0,0,0,0,0
250,0.681818187,9,52,6,15.0680677,-12.8615504,0,0,0,0,1,0,0,0,0,0
300,2.0,24,67,48,14.497401,-14.452362,0,0,0,0,0,0,0,0,0,1
300,2.0,5,42,63,14.128483,-15.707421,0,0,0,0,1,0,0,0,0,0
1500,1.717499971,10,57,56,51.540598,0.0324347,0,0,1,0,0,0,0,0,0,0
1900,3.0,18,66,56,14.819376,-16.445772,0,0,0,0,1,0,0,0,0,0
600,2.0,12,51,90,15.2820089,-16.1713267,0,0,0,0,0,1,0,0,0,0
700,0.75,9,29,48,12.6415985,-12.1268731,0,0,0,0,0,0,0,1,0,0
500,2.0,35,50,42,12.7924409,-15.9685189,0,0,1,0,0,0,0,0,0,0
1200,3.5,14,76,28,14.8206267,-15.2926308,1,0,0,0,0,0,0,0,0,0
1200,4.0,9,67,48,15.098306,-16.513803,0,0,0,0,1,0,0,0,0,0
300,0.904522538,8,54,45,14.4415617,-15.8290298,1,0,0,0,0,0,0,0,0,0
700,1.0,10,45,7,13.845253,-15.729005,0,0,1,0,0,0,0,0,0,0
100,1.0,5,62,49,15.270038,-14.05063,0,0,0,0,1,0,0,0,0,0
95,1.0,9,43,52,14.7497406,-17.5100452,0,0,0,0,0,1,0,0,0,0
400,1.299999952,4,85,48,12.471481,-16.522962,0,0,0,0,0,0,0,1,0,0
1500,0.5,7,45,30,39.193142,-106.82142,0,0,0,0,0,0,0,1,0,0
500,1.0,5,66,48,13.5238459,-13.511882,0,0,0,0,0,0,0,0,1,0
1400,2.0,5,35,52,13.7725888,-13.6710059,1,0,0,0,0,0,0,0,0,0
600,4.0,14,67,49,15.4603765,-15.0579333,0,0,0,0,1,0,0,0,0,0
980,3.0,26,84,48,14.561622,-15.892213,1,0,0,0,0,0,0,0,0,0
600,1.0,7,44,32,14.0566349,-16.3353419,0,0,0,0,1,0,0,0,0,0
50,1.0,10,40,56,14.113753,-15.640552,0,0,1,0,0,0,0,0,0,0
1200,1.0,6,54,7,12.485307,-15.621866,1,0,0,0,0,0,0,0,0,0
450,2.0,4,30,42,14.7306578,-17.4938651,0,0,0,0,1,0,0,0,0,0
50,0.044,14,42,5,16.793492,13.8100324,0,0,0,0,0,0,0,0,0,1
2000,2.0,16,37,78,13.8317507,-16.3382851,1,0,0,0,0,0,0,0,0,0
700,1.0,9,64,48,14.066667,-15.1,1,0,0,0,0,0,0,0,0,0
1020,2.527299881,15,31,45,14.774882,-16.949684,0,0,1,0,0,0,0,0,0,0
3420,4.0,16,52,35,45.5188546,-73.56698449999999,0,0,0,0,1,0,0,0,0,0
1200,2.0,6,46,50,13.1807648,-14.2932665,0,0,0,0,1,0,0,0,0,0
900,3.0,38,51,48,14.497401,-14.452362,0,0,0,0,0,1,0,0,0,0
50,1.0,9,35,63,13.959304,-16.348358,0,0,0,0,0,1,0,0,0,0
50,0.326499999,9,70,5,16.793492,13.8100324,0,0,0,0,0,0,0,0,0,1
1800,3.0,7,37,6,47.85058919999999,-122.2865561,1,0,0,0,0,0,0,0,0,0
3000,5.0,8,70,30,13.68042,-16.50128,0,0,0,0,1,0,0,0,0,0
200,1.0,12,38,48,13.3147492,-14.2123581,1,0,0,0,0,0,0,0,0,0
60,0.5,5,32,48,15.3745907,-16.5164262,1,0,0,0,0,0,0,0,0,0
