villages,id_men,taille_menage,age,nbre_heure_travail
Médina Boudialabou,568,9,78,36
Roundal sakhal,569,10,47,7
Sinthiou bal,570,6,36,20
Baline,571,6,50,75
Bantakountou,572,6,32,50
Ourour ndiodo,573,7,54,7
Ndimb   Korki,574,16,70,35
Keur Safady,575,6,40,56
Diokoul mbelbouck,576,11,46,70
Koungheulsoce,577,11,35,56
6,578,10,50,42
Mbonaye2,579,4,40,49
Guarigne,580,8,54,56
Maka fall,581,6,48,30
Keur ayib ka,582,12,60,42
Thiakho   thiofior,583,17,55,64
Agniack,584,32,78,56
Mboudaye    Serere,585,15,30,56
Sorokoume,586,9,43,49
Nguidile,587,8,61,42
Baïla ndour,588,1,65,49
Kollo,589,11,38,14
Hamdallaye tessan,590,17,88,0
Wentenkou,591,12,65,45
Ndoffane,592,8,36,84
Darou Matar,593,12,55,49
Tuabou,594,2,67,47
Ndindy,595,6,45,48
2,596,10,49,-99
Brandoufary,597,7,40,42
Thionokh sanghe,598,5,60,49
Mbayene,599,16,57,36
5,600,13,65,56
Cabrousse mossor,601,6,31,45
Médina gounass,602,8,67,10
Kafoul,603,10,52,30
Maka Sacoumba,604,18,28,70
Douba,605,8,66,56
ngaba,606,11,45,40
Gawane,607,13,63,36
Tivaouane peulh,608,12,62,40
Kandioukou,609,8,41,3
Koussanar Escale,610,6,50,48
Ngodiba,611,6,50,-99
Khaoulou,612,5,70,30
Agnack grand,613,6,76,28
Keur Ndiouga,614,12,57,0
Sare boure ramatoulaye,615,8,45,57
Sagatta,616,3,65,42
Thieye Thieye,617,7,43,35
Kanel,618,5,58,6
2,619,7,35,80
Koar,620,8,70,16
Médina kocoum,621,7,50,28
Koundioundou,622,21,59,42
Diamgueune ndiaye,623,4,53,74
5,624,15,50,70
Santhie gualgnonie,625,8,58,70
Seno Palel,626,14,60,5
Sare  mougna,627,23,66,14
Niassene Manding,628,11,45,49
Diagla,629,11,43,48
Poundioum,630,8,78,-99
Boutikingho,631,6,48,46
Gouye,632,18,57,28
Talibâdji ouolof,633,6,50,42
Djibanar,634,6,53,40
Niagha,635,7,55,0
Colobane,636,8,60,30
Mindo,637,6,53,48
Missirah,638,3,42,58
Madina couta,639,22,58,40
Mbekhelul,640,4,28,56
Walya samba deme,641,8,57,60
Petel Diéguess,642,13,65,-99
DIAGNON,643,8,67,35
Beyti gueye,644,5,38,56
Horndoldé,645,15,65,5
Bondie,646,5,55,15
Dioly mbandakhe,647,6,42,70
Poultock,648,6,62,48
Niankitte,649,13,62,49
Thiagar,650,5,83,0
Dnianoye,651,3,28,49
Marou maoundé,652,12,50,60
Diamgueune ndiaye,653,6,45,56
Warang,654,10,60,70
Gassane Ndawene,655,14,76,28
Senghalène,656,7,56,24
Epingue,657,4,30,12
Koudioundou,658,15,81,48
Kanene kane,659,10,65,54
Sinthiang Talong,660,9,62,42
Diagongue,661,15,62,56
Médina Sabakh,662,9,75,30
Pakala Mbayene,663,10,67,49
Soupane,664,10,50,48
Thiola,665,11,55,49
Ngadiaga,666,8,50,42
Ndiao Bambaly,667,11,45,56
Taiba,668,9,62,-99
Kassack  sud,669,9,41,40
Gaye paradji,670,7,36,42
Sab sabre loumby,671,5,42,49
Ngouye,672,10,65,35
Lat  mbissine daro mango,673,11,36,36
Loumby sabsabre,674,4,40,49
Sare  Guido  Yoba,675,15,79,14
Darou salam,676,3,65,13
Mampatim,677,10,60,52
Lagarde boulou mag,678,6,55,30
Sare boure  ramatoulaye,679,15,60,35
Nguick fall,680,4,45,56
Kelle gueye travaux,681,9,50,48
Boudy sakho,682,4,50,64
Barafoute,683,13,75,42
MÉDINA BOCAR SY,684,6,55,35
Ngap,685,10,55,36
Golmy,686,5,79,48
Ibel,687,16,55,42
Lesfalo,688,7,69,-99
Ting ting kom,689,7,54,50
Arafa,690,9,39,-99
Petel Dieguess,691,21,62,72
ngaba,692,7,41,40
THIENDIENG,693,8,40,32
Ndiedieng,694,15,48,56
Ndiorene,695,12,33,49
Ndiaye Counda,696,24,61,36
Francounda sarakhole,697,18,60,49
Bokh,698,6,63,48
Darou Ndiaye,699,6,70,-99
